epoch,train_loss,train_ce,train_dice,val_f1_qrs,val_f1_spikes,val_mean_seg_f1
1,0.42026287238848836,0.10664395595851697,0.8318883949204495,0.5331088914509091,0.16554804660704245,0.3493284690289758
2,0.39972565754463796,0.0845515837794856,0.7936172501036995,0.4456370019913959,0.15659949254292105,0.30111824726715847
3,0.3859807088186866,0.07436401220528703,0.7665543069964961,0.4295296339600744,0.15257257712909975,0.2910511055445871
4,0.37446287980205134,0.06780174913767137,0.7437470116113362,0.437263761191709,0.3071584892582616,0.37221112522498534
5,0.36586622344820124,0.06262466203617423,0.7269464244968012,0.5123036044672444,0.29485420504870874,0.4035789047579766
6,0.35889936356168045,0.057879546167034855,0.7140458759508634,0.5995519059214058,0.2288587809434934,0.41420534343244964
7,0.3490555349149202,0.05497918650507927,0.6951538104760019,0.5985611932537039,0.27136431028731894,0.43496275177051147
8,0.3435135946462029,0.055655232287551225,0.6829919705265447,0.6166819715087755,0.273154005716116,0.4449179886124457
9,0.33796360931898417,0.05368966187693571,0.6724850143256941,0.614125235876678,0.27225923251696404,0.443192234196821
10,0.33278563069669825,0.04995829768871006,0.6627430508011266,0.5581648951085592,0.25928380461243644,0.40872434986049777
11,0.32875394899594157,0.04958471744076202,0.6542276630276128,0.6578452377429732,0.30760595087643816,0.4827255943097057
12,0.3243764231079503,0.04985780494385644,0.6452586886129881,0.6212521017118907,0.3355701062642473,0.478411103988069
13,0.32188386352438675,0.048939957822624,0.6401538237145072,0.6326934261715094,0.3214761570136807,0.47708479159259504
14,0.3136598914861679,0.04724365894339586,0.6242064065054843,0.6400440120102208,0.324831867584144,0.4824379397971824
15,0.31245990842580795,0.04836896061897278,0.6204279284728201,0.6731536082108253,0.29418312984736167,0.4836683690290935
16,0.3105497748443955,0.04780758858511323,0.6170543196954226,0.5657072333285388,0.22706907391892275,0.39638815362373075
17,0.30270370095968246,0.04445878891764503,0.6016511477922138,0.6704690037701473,0.4015655476326904,0.5360172757014189
18,0.3038862222119382,0.045002303723441925,0.6036509291121834,0.6127509672003457,0.3736014190905232,0.4931761931454345
19,0.30031487698617737,0.0432670196322234,0.5974462267599607,0.6664421578939483,0.5782992336879732,0.6223706957909607
20,0.2924141060364874,0.041312839345712414,0.5819618137259233,0.6957486475583847,0.4328855864096473,0.564317116984016
21,0.29296256248888214,0.04322200209686631,0.5815802687092831,0.6655473075136344,0.48322099832251614,0.5743841529180753
22,0.2866442423117788,0.04179550060316136,0.5691945082262942,0.7181200106269883,0.5167780771815467,0.6174490439042675
23,0.2861613588113534,0.04145456973071161,0.5683027160795111,0.6467553664547159,0.5223708412569444,0.5845631038558301
24,0.2829640993946477,0.04101681591648804,0.5622252680753407,0.6724824266709816,0.5760621846573395,0.6242723056641606
25,0.27887581680950363,0.04016980798424859,0.554252310803062,0.6892609517455585,0.5961963423755191,0.6427286470605388
26,0.27773019279304306,0.04104064061845604,0.5508339028609427,0.736240788993921,0.48769530723376153,0.6119680481138412
27,0.2791858833087118,0.03985190523886367,0.5542429309142264,0.7404913029462301,0.47091671075730746,0.6057040068517687
28,0.27724645561293554,0.039116832917850265,0.5500407218933105,0.6753907139155788,0.5313194579608302,0.6033550859382045
29,0.2716239639802983,0.037833559326827526,0.5390311134488959,0.6673370807014846,0.35346721383322766,0.5104021472673561
30,0.27293708057780014,0.03774454562287582,0.5416815218172575,0.7026837781810528,0.43512257224123446,0.5689031752111436
